agency,oricodes
abilene_tx,TX22101
adairsville_ga,GA00802
aitkin_county_mn,MN00100
alameda_county_ca,CA00100
albany_ga,GA04701
albert_lea_mn,MN02401
albuquerque_nm,NM00101
alex_mn,MN02101
alpharetta_ga,GA06004
amarillo_tx,TX18801
anaheim_ca,CA03001
anchorage_ak,AK00101
anoka_county_mn,MN00200
apple_valley_mn,MN01910
arlington_county,
arlington_tx,TX22001
athens_clarke_county_ga,GA02901
atkinson_county_ga,GA00200
atlanta_ga,GAAPD00
aurora_co,CO00101
austin_mn,MN05001
austin_tx,TX22701
avondale_estates_ga,GA04403
backus_mn,
bainbridge_ga,GA04301
bakersfield_ca,CA01502
baltimore_md,MDBPD00
bartow_county_ga,GA00800
beaumont_tx,TX12301
beltrami_county_mn,MN00400
bemidji_mn,MN00401
bibb_county_ga,GA01100
blaine_mn,MN00202
bleckley_county_ga,GA01200
bloomington_mn,MN02701
blue_earth_county_mn,MN00700
boise_id,ID00101
boston_ma,MA01301
box_elder_county_ut,UT00200
brantley_county_ga,GA01300
braselton_ga,GA07806
brooklyn_center_mn,MN02702
brooklyn_park_mn,MN02703
broward_county_fl,FL00600
brownsville_tx,TX03101
buchanan_ga,GA07103
buffalo_ny,NY01401
bulloch_county_ga,GA01600
burke_county_ga,GA01700
burnsville_mn,MN01901
byron_ga,GA11102
calhoun_ga,GA06401
camden_county_ga,GA02000
carroll_county_ga,GA02200
carrollton_ga,GA02201
cartersville_ga,GA00801
cartoosa_county_ga,GA02300
carver_county_mn,MN01000
cass_county_mn,MN01100
centerville_ut,UT00604
chamblee_ga,GA04404
chandler_az,AZ00705
charlotte_nc,NC06001
chaska_mn,MN01002
chattooga_county_ga,GA02700
cherokee_county_ga,GA02800
chesapeake_va,VA10300
chicago_il,ILCPD00
chisago_county_mn,MN01300
chula_vista_ca,CA03702
cincinnati_oh,OHCIP00
clarkston_ga,GA04405
clayton_county_pd_ga,GA03101
clayton_county_sheriff_ga,GA03100
cleveland_oh,OHCLP00
clinch_county_ga,GA03200
clinton_ut,UT00611
cobb_county_pd_ga,GA03302
cobb_county_sheriff_ga,GA03300
college_park_ga,GA06001
college_station_tx,TX02102
colorado_springs_co,CO02101
colquitt_county_ga,GA03500
columbia_county_ga,GA03600
columbia_heights_mn,MN00204
columbus_ga,GA10601
columbus_oh,OHCOP00
columbus_state_university_ga,GA10604
commerce_ga,GA07801
cook_county_ga,GA03700
coon_rapids_mn,MN00205
corpus_christi_tx,TX17802
cottage_grove_mn,MN08207
cottonwood_heights_ut,UT01842
coweta_county_ga,GA03800
crawford_county_ga,GA03900
crow_wing_county_mn,MN01800
cumming_ga,GA05801
cuthbert_ga,GA12001
dakota_county_mn,MN01900
dallas_tx,TXDPD00
davis_county_ut,UT00600
decatur_county_ga,GA04300
dekalb_county_pd_ga,GA04402
dekalb_county_sheriff_ga,GA04400
denton_tx,TX06102
denver_co,CODPD00
detroit_mi,MI82349
douglas_county_ga,GA04800
douglas_county_mn,MN02100
douglas_ga,GA03401
douglasville_ga,GA04801
duchesne_county_ut,UT00700
duluth_mn,MN06906
dunwoody_ga,GA04471
durham_nc,NC03201
eagan_mn,MN01908
early_county_ga,GA04900
east_dublin_ga,GA08702
east_point_ga,GA06002
eden_prairie_mn,MN02726
edina_mn,MN02706
effingham_county_ga,GA05100
el_paso_tx,TX07102
emerson_ga,GA00806
euharlee_ga,GA00807
evans_county_ga,GA05400
fairmont_mn,MN04601
fannin_county_ga,GA05500
fayette_county_ga,GA05600
fergus_falls_mn,MN05601
floyd_county_police_ga,GA05701
floyd_county_sheriff_ga,GA05700
forest_lake_mn,MN08202
forsyth_county_ga,GA10201
fort_wayne_in,IN00201
fort_worth_tx,TX22012
franklin_county_ga,GA05900
fremont_ca,CA00105
fresno_ca,CA01005
fridley_mn,MN00206
fulton_county_police_ga,GA06013
fulton_county_sheriff_ga,GA06000
ga_state_patrol,GAGSP00
gainesville_ga,GA06901
garland_tx,TX05711
georgia_tech_police,GA06010
gilbert_az,AZ00711
gilbert_mn,MN06909
glendale_az,AZ00713
glynn_county_ga,GA06300
golden_valley_mn,MN02708
gordon_county_ga,GA06400
grand_county_ut,UT01000
grand_prairie_tx,TX05712
gransville_ut,UT02302
greene_county_ga,GA06600
greensboro_nc,NC04102
greenville_ga,GA09902
griffin_ga,GA12601
gwinnett_county_ga,GA06700
habersham_county_ga,GA06800
hall_county_ga,GA06900
harris_county_tx,TX10100
hastings_mn_mn,MN01903
heard_county_ga,GA07400
henderson_nv,NV00203
hennepin_county_mn,MN02700
henry_county_police_ga,GA07505
henry_county_sheriff_ga,GA07500
